X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL,LATITUDE,LONGITUDE
587672.2753,4790328.3093,1,McMaster University - John Hodgins Engineering Building - SE ,,Private ,1,Multi-Ring,48,No,Yes,1,Yes,43.26066532,-79.91980332
587671.997,4790370.7,2,McMaster University - John Hodgins Engineering Building - NE Corner,,School,1,Multi-Ring,56,No,Yes,1,Yes,43.261047,-79.9198
587710.0969,4790177.4547,6,McMaster University - Communications Research Laboratory - North,,School,1,Multi-Ring,8,No,No,1,Yes,43.25930276,-79.91936143
597313.2088,4775051.4681,9,Hamilton Public Library - Binbrook Branch,"2641 Hamilton Regional Rd 56, Binbrook",Municipal,1,Hammer Hoop,6,No,Yes,11,Yes,43.12194747,-79.80373259
594530.8425,4775809.0004,10,Binbrook,"4280 Binbrook Rd, Binbrook",Municipal,1,Multi-Ring,8,,,11,Yes,43.12912,-79.8378
584833.4493,4790810.3354,11,Hamilton Public Library: Dundas Branch,"18 Ogilvie Street, Dundas",Municipal,1,Multi-Ring,8,No,Yes,13,Yes,43.26533,-79.9547
588992.0446,4790576.2418,12,Hamilton Public Library (Westdale Branch),"955 King St W, Hamilton",Municipal,1,Hammer Hoop,8,No,Yes,1,Yes,43.26274277,-79.90350548
592452.878,4789812.1414,15,Goodwill Career Centre,"King William and Ferguson
225 King William St",Private ,1,Multi-Ring,6,No,Yes,2,Yes,43.255447,-79.861
592311.5543,4789781.5938,16,Social Planning and Research Council of Hamilton ,Walnut and King William,Private ,1,Multi-Ring,6,No,Yes,2,Yes,43.2551893,-79.86274586
592159.4683,4789547.3563,17,"Anthony Markowski, Practice of Dentistry","Main and Walnut
134 Jackson St E",Private ,1,Hammer Hoop,2,No,Yes,2,Yes,43.25309909,-79.86465834
592781.2339,4790067.837,20,Shoppers Drug Mart,"232 Cannon Street East, Cannon and Wellington",Private ,1,Multi-Ring,4,No,Yes,3,Yes,43.25770865,-79.85691245
596241.5656,4789490.2651,21,Walmart,Ottawa and Barton St E,Private,1,Multi-Ring,8,No,Yes,4,Yes,43.252075,-79.81439
595421.1621,4788577.0397,23,Pizza Pizza,King E and Belmont,Private ,1,Multi-Ring,6,No,Yes,3,Yes,43.24395771,-79.82465265
595871.3509,4788660.2955,24,Tim Hortons,Ottawa and Dunsmere,Private ,1,Hammer Hoop,6,No,Yes,3,Yes,43.24465014,-79.81909414
592701.73,4789432.0321,25,Canadian Tire,304 Main Street East,Private,1,Multi-Ring,6,No,Yes,3,Yes,43.25199435,-79.85799875
593204.972,4789257.4994,26,Apartment,460 main e,Private,1,Multi-Ring,8,No,Yes,3,Yes,43.250361,-79.85183
593365.9569,4789281.7462,27,Tim Hortons,503 Main Street East,Private,1,Multi-Ring,6,No,Yes,3,Yes,43.25055937,-79.84984315
594377.8874,4788872.2791,28,Big Bee Food Mart and Subway,810 Main Street East,Private ,1,Multi-Ring,10,No,No,3,Yes,43.246747,-79.83745
594964.4152,4788690.1186,29,Connaught Fish & Chips,976 Main Street East,Private ,1,Multi-Ring,6,No,Yes,3,Yes,43.2450334,-79.83025799
594978.7134,4788701.1601,30,Gage Market,961 Main Street East,Private ,1,Multi-Ring,6,No,Yes,3,Yes,43.245131,-79.83008
595343.3188,4788649.8861,32,McDonald's,1268 King Street East,Private ,1,Multi-Ring,8,No,Yes,3,Yes,43.24462338,-79.82559869
594606.372,4784884.1744,33,Tim Hortons,969 Upper Ottawa Street,Private ,1,Multi-Ring,6,No,Yes,6,Yes,43.210814,-79.83532
591938.5905,4790426.3193,34,History and Heritage,165 James Street North,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.2610393,-79.86723219
591982.5678,4790570.9357,35,Five Star Cafe‚,225 James Street North,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.2623359,-79.8666663
592276.192,4789849.8347,37,Across from Hamilton Police Headquarters,140 King William Street,ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.255808,-79.86317
591880.3376,4790016.3577,38,Opposite Lister Annex,25 King William St,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25735555,-79.86801816
591892.8666,4790020.4516,39,Rust City Brewery,23 King William Street,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25739088,-79.86786315
591849.3912,4790029.4516,40,Opposite Wendel Clark's Classic Bar and Grill,28 James St N,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25747721,-79.86839717
591889.0638,4789907.494,41,Tim Hortons,"35 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.2563744,-79.86792883
591919.3367,4789894.7122,42,LiUNA Tower,"53 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25625563,-79.86755808
591980.1868,4789866.8168,43,Super Convenience,"73 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25599707,-79.86681321
592024.6705,4789848.8399,44,Coffee Culture,"89 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25582979,-79.86626828
592371.6878,4789700.4695,45,Skyway Cigar Store,"243 King St E, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25445158,-79.86201878
592394.3749,4789708.3262,46,Tsunami Bikes,"245 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25451953,-79.86173802
592469.9073,4789657.948,47,Zoran Designs Jewellery,"285 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25405672,-79.86081612
592576.111,4789613.2505,48,Salvation Army,"333 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25364128,-79.85951551
592549.5743,4789612.0491,49,Groom for Men,"316 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25363372,-79.85984257
592528.5059,4789624.3442,50,Caf‚ Oranje,"312 King Street East, Hamilton",ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.253747,-79.8601
592483.6292,4789640.727,51,Denninger's Foods of the World,"284 King St E, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.2539,-79.86065
592017.9264,4789826.2085,52,,"92 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,,2,Yes,43.25562687,-79.86635513
592222.5569,4789761.5757,53,Bent Hair,"177 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25501998,-79.86384542
592273.3675,4789738.1348,54,The Letter Box,"201 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25480272,-79.8632235
592368.316,4789682.4733,55,Ferguson Station,"244 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25428998,-79.86206332
592373.5841,4789648.9744,56,Ferguson Station,"244 King Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25398774,-79.86200405
592294.6895,4789623.9372,57,Dollorama,"171 Main Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.253772,-79.86298
592283.4113,4789627.7257,58,Dollorama,"171 Main Street East, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25380749,-79.86311828
592023.5778,4789696.4039,59,Sapporo Plaza,"96 Main Street East, Hamilton",ROW,1,Multi-Ring,5,No,Yes,2,Yes,43.25445756,-79.8663072
591941.998,4789727.1353,60,Provincial Offences Office,"50 Main Street East, Hamilton",ROW,1,Multi-Ring,5,No,Yes,2,Yes,43.25474419,-79.86730691
591665.1535,4789830.3864,61,New Vision United Church ,"24 Main Street West, Hamilton",ROW,1,Hammer Hoop,8,No,Yes,2,Yes,43.25570747,-79.87069971
591754.5196,4790213.4903,62,Parking garage,"28 York Blvd, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25914565,-79.86953513
591740.4919,4790227.4719,63,Coppley Noyes & Randall Wholesale Clothing - ,"56 York Blvd, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25927323,-79.8697056
591728.8701,4790222.1076,64,Coppley Noyes & Randall Wholesale Clothing - ,"56 York Blvd, Hamilton",ROW,1,Hammer Hoop,6,No,Yes,2,Yes,43.25922635,-79.86984965
591511.1079,4790294.881,65,7 Eleven,"114 York Boulevard, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.259908,-79.87252
591199.5746,4790521.833,66,Allegra,"255 York Blvd, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.261989,-79.87632
591573.2669,4790260.6199,67,First Ontario Centre,"101 York Boulevard, Hamilton",ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.259592,-79.87176
591536.9567,4790287.2337,68,Salvation Army,"101 York Boulevard, Hamilton",ROW,1,Hammer Hoop,10,No,Yes,2,Yes,43.25983601,-79.87220286
585159.61,4790051.5759,69,Dundana Elementary,23 Dundana Avenue,School,1,Multi-Ring,18,No,Yes,13,Yes,43.25846197,-79.9507991
592021.8726,4789925.1334,71,Downtown Bike Hounds Corral,21 John Street North,ROW,1,Bike Corral,10,No,Yes,2,Yes,43.256517,-79.86629
591950.0502,4789659.1994,74,Mayday Payday Loans/Hammer Town Subs,61 John St S,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,43.25413158,-79.86721907
593136.2679,4790417.9627,76,1-876 Bar and Grill,"306 Barton Street East, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.260817,-79.85248
593559.7758,4790259.2862,77,,"414 Barton St E, Hamilton",ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.259336,-79.84729
591529.102,4790525.6042,78,Tim Hortons,133 Bay Street North,ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.261983,-79.87226
592071.5159,4790356.8229,79,Giant Tiger,33 Cannon St E,ROW,1,Advertising Rack,4,No,Yes,2,Yes,43.2603974,-79.86560636
593235.7455,4790386.0062,80,Tiger Group Studio Gallery,"335 Barton E, Hamilton",ROW,1,Advertising Rack,4,No,Yes,3,Yes,43.260517,-79.85126
593271.8303,4790362.8474,81,Corner of Emerald and Barton,256 Emerald Street North,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.26030404,-79.85081942
