OBJECTID,NAME,WARD,LENGTH_IN_METRES,NEW_UPGRADE,TYPE,USERS,GRADE,DEG_DIFF_RATING,GEN_DESC,PARKING_ACCESS,LINKS,SPEC_CONSID,CLASS_EA,CURB_SHOULDER,FACILITY_STYLE,TRAFFIC_CONTROL
1,Dunsmure Rd,4,81.818,,Low Auto Volume Sugg,,,,,,,,,,,
2,Hunter St E,2,113.795,,Bicycle Lane,,,,,,,,,,,
3,Hunter St E,2,181.563,,Bicycle Lane,,,,,,,,,,,
4,Young St,2,85.697,,Bicycle Lane,,,,,,,,,,,
5,Young St,2,44.31,,Bicycle Lane,,,,,,,,,,,
6,Young St,2,104.855,,Bicycle Lane,,,,,,,,,,,
7,Lawrence Rd,4,46.13,,Bicycle Lane,,,,,,,,,,,
8,Lawrence Rd,4,41.55,,Bicycle Lane,,,,,,,,,,,
9,Lawrence Rd,4,187.511,,Bicycle Lane,,,,,,,,,,,
10,Lawrence Rd,4,152.762,,Bicycle Lane,,,,,,,,,,,
11,John,2,128.27,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
12,John,2,108.748,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
13,Sherman Av N,3,12.232,,Bicycle Lane,,,,,,,,,,,
14,John,2,110.703,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
15,John,2,113.112,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
16,Macnab St S,2,92.832,,Medium Auto Volume S,,,,,,,,,,,
17,Walter Av N,4,212.572,,Signed Bike Route,,,,,,,,,,,
18,Walter Av N,4,207.165,,Signed Bike Route,,,,,,,,,,,
19,Walter Av N,4,250.06,,Signed Bike Route,,,,,,,,,,,
20,Stone Church Rd E,8,327.961,,Bicycle Lane,,,,,,,,,,,
21,Upper Paradise Rd,14,59.245,,Bicycle Lane,,,,,,,,,,,
22,Upper Paradise Rd,14,89.397,,Bicycle Lane,,,,,,,,,,,
23,Upper Paradise Rd,14,169.757,,Bicycle Lane,,,,,,,,,,,
24,Upper Paradise Rd,14,199.576,,Bicycle Lane,,,,,,,,,,,
25,Upper Paradise Rd,14,292.591,,Bicycle Lane,,,,,,,,,,,
26,Upper Paradise Rd,14,79.478,,Bicycle Lane,,,,,,,,,,,
27,Upper Paradise Rd,14,3.137,,Bicycle Lane,,,,,,,,,,,
28,Upper Paradise Rd,14,80,,Bicycle Lane,,,,,,,,,,,
29,Upper Paradise Rd,14,231.512,,Bicycle Lane,,,,,,,,,,,
30,Upper Paradise Rd,14,81.212,,Bicycle Lane,,,,,,,,,,,
31,Upper Paradise Rd,14,61.984,,Bicycle Lane,,,,,,,,,,,
32,Upper Paradise Rd,14,10.809,,Bicycle Lane,,,,,,,,,,,
33,Upper Paradise Rd,14,83.078,,Bicycle Lane,,,,,,,,,,,
34,Upper Paradise Rd,14,3.972,,Bicycle Lane,,,,,,,,,,,
35,Upper Paradise Rd,14,6.923,,Bicycle Lane,,,,,,,,,,,
36,Upper Paradise Rd,14,121.304,,Bicycle Lane,,,,,,,,,,,
37,Upper Paradise Rd,14,128.611,,Bicycle Lane,,,,,,,,,,,
38,Upper Paradise Rd,14,130.779,,Bicycle Lane,,,,,,,,,,,
39,Cannon St E,3,72.697,,Bicycle Lane,,,,,,,,,,,
40,Hunter St E,2,78.571,,Bicycle Lane,,,,,,,,,,,
41,Upper Paradise Rd,14,51.409,,Bicycle Lane,,,,,,,,,,,
42,York Bv,1,86.907,,Bicycle Lane,,,,,,,,,,,
43,York Bv,1,51.182,,Bicycle Lane,RECOMM,FLAT,,,,,,,CURB,,
44,Haldibrook Rd,11,789.26,,Low Auto Volume Sugg,,,,,,,,,,,
45,Haldibrook Rd,11,319.583,,Low Auto Volume Sugg,,,,,,,,,,,
46,Haldibrook Rd,11,1246.702,,Low Auto Volume Sugg,,,,,,,,,,,
47,Eaglewood Dr,6,56.601,,Low Auto Volume Sugg,,,,,,,,,,,
48,Eva St,6,82.561,,Low Auto Volume Sugg,,,,,,,,,,,
49,Eleanor Av,6,359.753,,Low Auto Volume Sugg,,,,,,,,,,,
50,Eleanor Av,6,323.704,,Low Auto Volume Sugg,,,,,,,,,,,
51,Dunsmure Rd,4,81.392,,Low Auto Volume Sugg,,,,,,,,,,,
52,Dunsmure Rd,4,79.899,,Low Auto Volume Sugg,,,,,,,,,,,
53,Greenhill Av,4,82.097,,Signed Bike Route,,,,,,,,,,,
54,Greenhill Av,4,15.698,,Signed Bike Route,,,,,,,,,,,
55,East 45th St,6,168.853,,Low Auto Volume Sugg,,,,,,,,,,,
56,Ferguson Av S,2,100.435,,Bicycle Lane,,,,,,,Greenway,,,,
57,East 43rd St,6,73.055,,Low Auto Volume Sugg,,,,,,,,,,,
58,East 43rd St,6,72.317,,Low Auto Volume Sugg,,,,,,,,,,,
59,East 43rd St,6,73.714,,Low Auto Volume Sugg,,,,,,,,,,,
60,East 43rd St,6,181.234,,Low Auto Volume Sugg,,,,,,,,,,,
61,Upper Gage Av,6,86.922,,High Auto Volume Sig,,,,,,,,,,,
62,Macassa Av,7,84.255,,Signed Bike Route,,,,,,,,,,,
63,Macassa Av,7,25.046,,Signed Bike Route,,,,,,,,,,,
64,Macassa Av,7,57.216,,Signed Bike Route,,,,,,,,,,,
65,Macassa Av,7,73.482,,Signed Bike Route,,,,,,,,,,,
66,Macassa Av,7,85.328,,Signed Bike Route,,,,,,,,,,,
67,Franklin Rd,7,152.717,,Signed Bike Route,,,,,,,,,,,
68,Franklin Rd,7,83.098,,Signed Bike Route,,,,,,,,,,,
69,Franklin Rd,7,60.805,,Signed Bike Route,,,,,,,,,,,
70,Franklin Rd,7,21.065,,Signed Bike Route,,,,,,,,,,,
71,Franklin Rd,7,81.387,,Signed Bike Route,,,,,,,,,,,
72,Franklin Rd,7,82.77,,Signed Bike Route,,,,,,,,,,,
73,East 24th St,7,184.755,,Signed Bike Route,,,,,,,,,,,
74,Hall Rd,11,2294.41,,Low Auto Volume Sugg,,,,,,,,,,,
75,Rendell Bv,6,91.966,,Signed Bike Route,,,,,,,,,,,
76,Rendell Bv,6,126.712,,Signed Bike Route,,,,,,,,,,,
77,Gage Av S,3,173.346,,Bicycle Lane,,,,,,,,,,,
78,Lawrence Rd,4,35.642,,Bicycle Lane,,,,,,,,,,,
79,Cochrane Rd,4,222.49,,Signed Bike Route,,,,,,,,,,,
80,Cochrane Rd,4,219.44,,Signed Bike Route,,,,,,,,,,,
81,Cochrane Rd,4,196.87,,Signed Bike Route,,,,,,,,,,,
82,Pottruff Rd S,5,56.012,,Medium Auto Volume S,,,,,,,,,,,
83,Dunsmure Rd,4,82.988,,Low Auto Volume Sugg,,,,,,,,,,,
84,Dunsmure Rd,4,88.381,,Low Auto Volume Sugg,,,,,,,,,,,
85,Cannon St E,3,82.807,,Bicycle Lane,,,,,,,,,,,
86,Cannon St E,3,102.935,,Bicycle Lane,,,,,,,,,,,
87,Cannon St E,3,62.476,,Bicycle Lane,,,,,,,,,,,
88,Cannon St E,3,61.632,,Bicycle Lane,,,,,,,,,,,
89,Cannon St E,3,242.648,,Bicycle Lane,,,,,,,,,,,
90,Walter Av N,4,1.197,,Low Auto Volume Sugg,,,,,,,,,,,
91,Glancaster Rd,11,95.422,,Medium Auto Volume S,,,,,,,,,,,
92,Carluke Rd W,12,1249.192,,Medium Auto Volume S,,,,,,,,,,,
93,Stone Church Rd E,7,62.266,,Bicycle Lane,,,,,,,,,,,
94,Stone Church Rd E,7,312.722,,Bicycle Lane,,,,,,,,,,,
95,Stone Church Rd E,7,262.412,,Bicycle Lane,,,,,,,,,,,
96,Stone Church Rd E,7,262.412,,Bicycle Lane,,,,,,,,,,,
97,Stone Church Rd E,7,42.844,,Bicycle Lane,,,,,,,,,,,
98,Stone Church Rd E,7,71.797,,Bicycle Lane,,,,,,,,,,,
99,Stone Church Rd E,6,167.749,,Bicycle Lane,,,,,,,,,,,
100,Stone Church Rd E,6,55.146,,Bicycle Lane,,,,,,,,,,,
101,Stone Church Rd E,6,85.139,,Bicycle Lane,,,,,,,,,,,
102,Stone Church Rd E,6,125.282,,Bicycle Lane,,,,,,,,,,,
103,Stone Church Rd E,6,52.572,,Bicycle Lane,,,,,,,,,,,
104,Stone Church Rd E,6,425.325,,Bicycle Lane,,,,,,,,,,,
105,Stone Church Rd E,6,487.56,,Bicycle Lane,,,,,,,,,,,
106,Stone Church Rd E,6,511.716,,Bicycle Lane,,,,,,,Greenway,,,,
107,Stone Church Rd E,7,209.773,,Bicycle Lane,,,,,,,,,,,
108,Stone Church Rd E,7,181.023,,Bicycle Lane,,,,,,,,,,,
